"","STATE","COUNTY","CITY","ADDRESS","DATE","LAT","LON"
"1","ALABAMA","AUTAUGA","PRATTVILLE","168 WEST PATRICK STREET",2009-04-29,32.452519,-86.455495
"2","ALABAMA","AUTAUGA","PRATTVILLE","1829 COUNTRY 107 ROAD",2010-06-23,32.471359,-86.466179
"3","ALABAMA","AUTAUGA","PRATTVILLE","487 WEST PINECREST STREET",2009-04-30,32.462726,-86.460884
"4","ALABAMA","AUTAUGA","PRATTVILLE","910 EAST FAIRVIEW AVENUE 910",2009-05-12,32.47515,-86.442817
"5","ALABAMA","BALDWIN","BAY MINETTE","15877 WEST PINE GROVE ROAD UNIT 6",2011-08-03,30.855868,-87.7511
"6","ALABAMA","BALDWIN","DAPHNE","500 GRANT ST D213",2004-12-28,30.646534,-87.910827
"7","ALABAMA","BALDWIN","FOLEY","126 COUNTY ROAD 20 W 206",2004-08-27,30.40638,-87.682076
"8","ALABAMA","BALDWIN","FOLEY","15326 SHERMAN LANE",2013-04-02,30.365421,-87.760506
"9","ALABAMA","BALDWIN","FOLEY","15820 BEASLEY ROAD",2008-07-04,30.414063,-87.753665
"10","ALABAMA","BALDWIN","GULF SHORES","2151 MEEKER LN",2004-10-14,30.255391,-87.753378
"11","ALABAMA","BALDWIN","GULF SHORES","216 EAST 24TH AVENUE 11",2011-12-24,30.277949,-87.685118
"12","ALABAMA","BALDWIN","GULF SHORES","336a EAST 3RD ST A",2005-04-22,30.24973,-87.681262
"13","ALABAMA","BALDWIN","LILLIAN","9525 COUNTY 91 RD",2004-05-12,30.4128,-87.436897
"14","ALABAMA","BALDWIN","PERDIDO","56631 SPLINTER HILL RD",2004-05-04,31.02062,-87.658988
"15","ALABAMA","BALDWIN","ROBERTSDALE","22031 COUNTY 87 ROAD 3",2012-01-21,30.55612,-87.711546
"16","ALABAMA","BALDWIN","SEMINOLE","19815 SEMINOLE DR",2004-05-13,30.514237,-87.476982
"17","ALABAMA","BALDWIN","STOCKTON","9700 HELTON RD",2004-04-12,31.010192,-87.857775
"18","ALABAMA","BALDWIN","SUMMERDALE","17761 COUNTY ROAD 28 RD C",2004-12-01,30.457963,-87.717078
"19","ALABAMA","BIBB","WEST BLOCTON","386 CAMILLIA LANE",2010-04-06,33.119535,-87.12111
"20","ALABAMA","BLOUNT","ALLGOOD","55 HIGHLAND AVENUE",2010-06-05,33.909673,-86.512002
"21","ALABAMA","BLOUNT","CLEVELAND","135 BLACKBERRY LANE",2010-05-27,33.991356,-86.590456
"22","ALABAMA","BLOUNT","CLEVELAND","363 OLD WALKER ROAD",2010-06-04,33.962298,-86.62167
"23","ALABAMA","BLOUNT","HAYDEN","590 SHIPP RD",2004-07-24,33.864963,-86.919539
"24","ALABAMA","BLOUNT","HAYDEN","911 ELVESTER RD",2005-02-10,33.8917,-86.753628
"25","ALABAMA","BLOUNT","ONEONTA","830 MORTON ROAD",2010-06-29,33.929866,-86.407359
"26","ALABAMA","BLOUNT","TRAFFORD","23 SMITH MILL RD LOT 4",2005-04-07,33.820661,-86.718672
"27","ALABAMA","CALHOUN","ANNISTON","1001 BYNUM LEATHERWOOD RD",2004-09-01,33.653719,-85.902736
"28","ALABAMA","CALHOUN","ANNISTON","101 54TH ST. E ST LOT #10",2005-06-03,33.663713,-85.829793
"29","ALABAMA","CALHOUN","ANNISTON","116 29TH W ST",2005-05-06,33.663713,-85.829793
"30","ALABAMA","CALHOUN","ANNISTON","148 CHELSI LANE",2006-03-10,33.6448,-85.898293
"31","ALABAMA","CALHOUN","ANNISTON","169 WOODMIST LN",2005-05-19,33.663713,-85.829793
"32","ALABAMA","CALHOUN","ANNISTON","176 MARION DR",2004-10-05,33.691647,-85.861414
"33","ALABAMA","CALHOUN","ANNISTON","207 BRENDA RD",2004-09-30,33.705273,-85.825648
"34","ALABAMA","CALHOUN","ANNISTON","2130 WOODLAND AVE",2004-11-09,33.673027,-85.815635
"35","ALABAMA","CALHOUN","ANNISTON","2325 NOBLE ST",2005-05-06,33.674573,-85.829829
"36","ALABAMA","CALHOUN","ANNISTON","2910 DEMPSEY AVENUE",2008-11-17,33.650584,-85.871422
"37","ALABAMA","CALHOUN","ANNISTON","4250 US 431 HWY",2004-02-10,33.663713,-85.829793
"38","ALABAMA","CALHOUN","ANNISTON","440 WILLINGHAM DR",2004-04-25,33.649001,-85.90219
"39","ALABAMA","CALHOUN","ANNISTON","4500 SPRAGUE AVENUE 82",2008-03-07,33.702,-85.828531
"40","ALABAMA","CALHOUN","ANNISTON","4620 SPRAUGE AVE LOT 2",2004-07-19,33.663713,-85.829793
"41","ALABAMA","CALHOUN","ANNISTON","4726 OLD BIRMINGHAM HWY",2010-06-16,33.636404,-85.900654
